mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,£kA11,£kB11,£kA10,£kB10,£kA01,£kB01,£kA00,£kB00,S,I,D,Un,Uphi,Un-Uphi
0.2,2.7226109475e-08,0.25001497762,0.43385659702,3.6443014338e-08,1.2792495389e-07,0.33338003053,0.48261669906,0.44568393073,0.49446453012,2.4935442793e-07,0.33398603453,7.5812467115e-08,0.74294820466,0.12863077144,0.92031448305,9.035697744e-28,0.001099660134,1.7200638584306527,0.6450707808338519,1.0749930775968006
0.21000000000000002,2.7188270398e-08,0.26583871134,0.4340954527,3.6516866047e-08,1.2890258061e-07,0.36212030977,0.48274429145,0.4458942917,0.49450874622,2.4944433553e-07,0.3338735175,7.6392268005e-08,0.7800951534,0.12492837909,0.92418123012,9.3737934103e-28,0.0010462990244,1.746066719193372,0.6789855146404933,1.0670812045528788
0.22,2.727117931e-08,0.28206818171,0.43426530826,3.6748500361e-08,1.3038254463e-07,0.39291357563,0.48285460255,0.44605163097,0.49454754952,2.504290278e-07,0.33369573659,7.7265687794e-08,0.81724206955,0.11838705911,0.92786503008,9.6700621458e-28,0.00099546258483,1.7720695575213516,0.7131030924300592,1.0589664650912924
0.23,2.7468388732e-08,0.29871919666,0.4343729212,3.7131899668e-08,1.3235615483e-07,0.42598795032,0.48294917035,0.44615928525,0.49458174104,2.5227357198e-07,0.33345707117,7.8424969451e-08,0.85438895378,0.10818245261,0.93137158967,9.9215388115e-28,0.00094707206261,1.798072373825153,0.7474314187230123,1.0506409551021405
0.24000000000000002,2.7775398361e-08,0.31580839609,0.4344250763,3.7663625819e-08,1.3482139225e-07,0.46160665384,0.48302949042,0.44622038437,0.49461212119,2.5495799662e-07,0.33315569136,7.9866688335e-08,0.89153580683,0.093136828213,0.93470661138,1.0126077464e-27,0.00090104876291,1.8240751685711838,0.7819788140524373,1.0420963545187465
0.25,2.8189363062e-08,0.33335330738,0.4344285615,3.8342507536e-08,1.3778461037e-07,0.50007502386,0.48309700025,0.44623782145,0.49463949095,2.5847547118e-07,0.3327946326,8.1591201075e-08,0.92868262943,0.071507007711,0.93787578331,1.0282373776e-27,0.00085731419036,1.8500779422257498,0.8167540426601577,1.033323899565592
0.26,2.8708896923e-08,0.35137240533,0.43439014331,3.916943207e-08,1.4126287614e-07,0.54174929085,0.48315305699,0.44621418877,0.49466465895,2.6283072635e-07,0.33238973255,8.3602225639e-08,0.96582942232,0.040598729026,0.94088476921,1.0389962126e-27,0.00081579018494,1.8760806952692628,0.8517663425116884,1.0243143527575744
0.27,3.6074416959e-08,0.36988518203,0.43623120728,4.3229352691e-08,0.0041665928394,0.58460201866,0.4831590679,0.446289579,0.50407685782,2.6790170111e-07,2.8401217909e-05,9.4315959429e-08,0.99999976899,0.0061325637743,0.94373021251,1.044877014e-27,0.00077652306735,1.9020831786912156,0.8870256130866468,1.0150575656045686
0.28,3.6734444513e-08,0.38891219736,0.43630744154,4.4295485294e-08,0.056173601529,0.60071618657,0.48326680167,0.44631006142,0.5039712203,2.7231381297e-07,2.1508000588e-06,1.0291373099e-07,0.99999974807,0.089810536984,0.94632703632,1.0457126011e-27,0.00074068689873,1.9280866775250198,0.9225426140202111,1.0055440635048087
0.29000000000000004,3.7494797719e-08,0.40847518477,0.43634510861,4.5493002283e-08,0.10818065553,0.6158884884,0.48336637299,0.44630608127,0.5038564148,2.7735121146e-07,1.1425499663e-06,1.1283559502e-07,0.99999972357,0.19479214309,0.94878742035,1.0422984115e-27,0.00070673359915,1.9540901983774308,0.9583276223562547,0.9957625760211761
