m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,πA00,πB00,πA01,πA10,πB01,πB10,πA11,πB11,S4,I4,D_vals,Ud
0.61,1,0,0.2787214598218246,-0.1779100956520403,1.0,0.36071582233658933,1.0,1.0,1,0.00016837949188769602,1.0,1.0,0.6101405389267764,0.6101405389267764,0.6101405389267764,0.6101405389267764,0,0,0.9806735668579654,0.004936127814954762,0.00029191167160419007,0.9230094747193831
0.62,1,0,0.28602822074141354,-0.15171688009771556,1.0,0.3871568588252197,1.0,1.0,1,0.00017537162475582543,1.0,1.0,0.6201427066967812,0.6201427066967812,0.6201427066967812,0.6201427066967812,0,0,0.9808953157947564,0.004837946340828387,0.0002883583219573633,0.9192948866135433
0.63,1,0,0.29599844908429906,-0.12345976710849893,1.0,0.4127584973300841,1.0,1.0,1,0.00018273270417573528,1.0,1.0,0.6301448775320937,0.6301448775320937,0.6301448775320937,0.6301448775320937,0,0,0.9811122097035447,0.004742964091475276,0.00028488780969349736,0.9154124209112133
0.64,1,0,0.3087447952644613,-0.09299800142720205,1.0,0.4375600846316714,1.0,1.0,1,0.00019049347570797786,1.0,1.0,0.640147051773264,0.640147051773264,0.640147051773264,0.640147051773264,0,0,0.9813243519284596,0.004651082920270184,0.00028149823734952315,0.9113699466623817
0.65,1,0,0.3243997011240678,-0.06017276589726617,1.0,0.46159854617013296,1.0,1.0,1,0.0001986881986924853,1.0,1.0,0.6501492297599256,0.6501492297599256,0.6501492297599256,0.6501492297599256,0,0,0.9815318418107303,0.004562208677492217,0.0002781877813635933,0.9071748486503555
0.66,1,0,0.3431177707688198,-0.024804679602497437,1.0,0.4849085694801562,1.0,1.0,1,0.0002073551629800964,1.0,1.0,0.6601514118307951,0.6601514118307951,0.6601514118307951,0.6601514118307951,0,0,0.9817347748000863,0.00447625109889608,0.00027495469007661916,0.9028340640788266
0.67,1,0,0.34741273079712576,-0.004356718346562705,1.0,0.5075227711988356,1.0,1.0,1,0.00021653729961468182,1.0,1.0,0.6701535983236703,0.6701535983236703,0.6701535983236703,0.6701535983236703,0,0,0.9819332425642238,0.00439312369621821,0.0002717972817639277,0.8983541159735371
0.6799999999999999,1,0,0.3192008990775106,-0.01689063710995109,1.0,0.5294718493375535,1.0,1.0,1,0.00022628290602128972,1.0,1.0,0.6801557895754318,0.6801557895754318,0.6801557895754318,0.6801557895754318,0,0,0.9821273330963434,0.004312743649611265,0.0002687139426972767,0.8937411436367788
0.69,1,0,0.29180666647245923,-0.02906138901837574,1.0,0.5507847223128307,1.0,1.0,1,0.00023664651155078114,1.0,1.0,0.6901579859220404,0.6901579859220404,0.6901579859220404,0.6901579859220404,0,0,0.9823171308207665,0.004235031702000334,0.00026570312523744184,0.8890009304537012
0.7,1,0,0.2651950758135717,-0.04088445557196918,1.0,0.5714886560602427,1.0,1.0,1,0.0002476899161335765,1.0,1.0,0.700160187698538,0.700160187698538,0.700160187698538,0.700160187698538,0,0,0.9825027166966368,0.0041599120553541934,0.0002627633459575669,0.8841389293152606
0.71,1,0,0.2393331319717804,-0.052374453452277425,1.0,0.5916093804063192,1.0,1.0,1,0.000259483443828813,1.0,1.0,0.710162395239046,0.710162395239046,0.710162395239046,0.710162395239046,0,0,0.982684168319713,0.0040873122688647855,0.00025989318379744967,0.8791602858928083
0.72,1,0,0.21418966863080202,-0.06354519155292548,1.0,0.6111711957427823,1.0,1.0,1,0.00027210746499018676,1.0,1.0,0.7201646088767657,0.7201646088767657,0.7201646088767657,0.7201646088767657,0,0,0.9828615600222608,0.004017163159028091,0.0002570912782489299,0.8740698599731787
0.73,1,0,0.18973522552004374,-0.0744097238134982,1.0,0.6301970709330411,1.0,1.0,1,0.0002856542566896376,1.0,1.0,0.7301668289439768,0.7301668289439768,0.7301668289439768,0.7301668289439768,0,0,0.9830349629710504,0.003949398701619409,0.0002543563275725042,0.8688722450402919
0.74,1,0,0.16594193533198176,-0.08498039803921831,1.0,0.64870873328032,1.0,1.0,1,0.0003002302924725653,1.0,1.0,0.7401690557720376,0.7401690557720376,0.7401690557720376,0.7401690557720376,0,0,0.9832044452634661,0.00388395593555604,0.00025168708704530684,0.8635717862691461
0.75,1,0,0.14278341958617968,-0.09526890091500739,1.0,0.666726751298338,1.0,1.0,1,0.0003159590816507455,1.0,1.0,0.7501712896913839,0.7501712896913839,0.7501712896913839,0.7501712896913839,0,0,0.9833700720217362,0.003820774868640237,0.0002490823672405517,0.8581725970804159
0.76,1,0,0.12023469275836973,-0.10528629942201562,1.0,0.6842706109474608,1.0,1.0,1,0.0003329847184221749,1.0,1.0,0.760173531031529,0.760173531031529,0.760173531031529,0.760173531031529,0,0,0.9835319054852905,0.00375979838517523,0.000246541032338536,0.8526785743882528
0.77,1,0,0.09827207406045924,-0.1150430788464174,1.0,0.7013587859303727,1.0,1.0,1,0.00035147635684440584,1.0,1.0,0.770175780121062,0.770175780121062,0.770175780121062,0.770175780121062,0,0,0.9836900051012502,0.0037009721554470557,0.00024406199846927938,0.8470934126601435
0.78,1,0,0.07687310633303523,-0.1245491775381149,1.0,0.7180088025803893,1.0,1.0,1,0.00037163390625868654,1.0,1.0,0.7801780372876492,0.7801780372876492,0.7801780372876492,0.7801780372876492,0,0,0.9838444276130611,0.0036442445470648245,0.00024164423208686818,0.8409955987098052
0.79,1,0,0.05601648159605155,-0.1338140185314165,1.0,0.7342372998215448,1.0,1.0,1,0.0003936953539765557,1.0,1.0,0.7901803028580316,0.7901803028580316,0.7901803028580316,0.7901803028580316,0,0,0.9839952271472754,0.003589566538152002,0.00023928674837555677,0.8328813500892276
0.8,1,0,0.03568197289940489,-0.14284653807797287,1.0,0.7500600846316714,1.0,1.0,1,0.0004179462847713042,1.0,1.0,0.8001825771580253,0.8001825771580253,0.8001825771580253,0.8001825771580253,0,0,0.9841424552984899,0.0035368916323811513,0.00023698860968766184,0.8249699576841643
