,m0,m1,m2,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
10,0.2,0.2,0.22999999999999998,0.7480957826237172,0,0.0,-0.23871943442289179,0.3342072081920486,0.0,0.5729266426149404,0.0,0,0.0,0.9273222896277913,0.04171350733050507,0.001227906064959175,0.4010486498304583,1.6010486498304581,1.1999999999999997
11,0.21000000000000002,0.21000000000000002,0.2415,0.7575661798219008,0,0.0,-0.2506551314134704,0.35091718397885874,0.0,0.6015723153923294,0.0,0,0.0,0.930208634693054,0.03946552894564724,0.0011769772808877862,0.4211006207746305,1.6211006207746304,1.1999999999999997
12,0.22,0.22,0.253,0.7672793971526495,0,0.0,-0.26259080585552974,0.3676271281977417,0.0,0.6302179340532715,0.0,0,0.0,0.9329801128381061,0.03731886580448865,0.0011280327482665292,0.44115255383729,1.64115255383729,1.2
13,0.23,0.23,0.2645,0.777244895140628,0,0.0,-0.2745264582421698,0.3843370415390376,0.0,0.6588634997812073,0.0,0,0.0,0.9356401901261321,0.035270189973730666,0.0010810209589679548,0.46120444984684505,1.6612044498468452,1.2000000000000002
14,0.24000000000000002,0.24000000000000002,0.276,0.7874726322328511,0,1.1102230246251565e-16,-0.28646208906648507,0.40104692469307945,0.0,0.6875090137595647,0.0,0,0.0,0.9381922733085856,0.033316232931011984,0.0010358905018607197,0.48125630963169536,1.6812563096316953,1.2
15,0.25,0.25,0.2875,0.7979730979935082,0,0.0,-0.2983976988215664,0.41775677835019304,0.0,0.7161544771717595,0.0,0,0.0,0.9406397094343564,0.03145378595574281,0.000992590124728422,0.5013081340202317,1.7013081340202316,1.2
16,0.26,0.26,0.299,0.8087573489902581,0,-1.1102230246251565e-16,-0.31033328800049853,0.4344666032006976,0.0,0.744799891201196,0.0,0,0.0,0.9429857855037305,0.029679700475141672,0.0009510687939677982,0.5213599238408372,1.7213599238408372,1.2000000000000002
17,0.27,0.27,0.3105,0.8198370476300832,0,0.0,-0.3222688570963608,0.4511763999349051,0.0,0.773445257031266,0.0,0,0.0,0.9452337281662928,0.027990888366337414,0.0009112757520040389,0.5414116799218861,1.741411679921886,1.1999999999999997
18,0.28,0.28,0.322,0.8312245042314655,0,-2.220446049250313e-16,-0.3342044066022294,0.4678861692431209,0.0,0.8020905758453504,0.0,0,0.0,0.947386703461901,0.026384322215390325,0.0008731605723714871,0.5614634030917453,1.761463403091745,1.1999999999999997
19,0.29000000000000004,0.29000000000000004,0.3335,0.842932722651956,0,-1.1102230246251565e-16,-0.3461399370111742,0.48459591181564377,0.0,0.8307358488268181,0.0,0,0.0,0.9494478166039007,0.024857035534080887,0.0008366732124183023,0.5815150941787726,1.7815150941787725,1.2
20,0.30000000000000004,0.30000000000000004,0.34500000000000003,0.85497544982668,0,-1.1102230246251565e-16,-0.3580754488162614,0.5013056283427658,0.0,0.8593810771590273,0.0,0,0.0,0.9514201118037264,0.023406122935306913,0.0008017640636035573,0.6015667540113191,1.801566754011319,1.1999999999999997
21,0.31,0.31,0.3565,0.8673672296145383,0,1.1102230246251565e-16,-0.370010942510552,0.5180153195147726,0.0,0.8880262620253245,0.0,0,0.0,0.9533065721360625,0.02202874026792264,0.000768383999364714,0.6216183834177272,1.821618383417727,1.1999999999999997
22,0.32,0.32,0.368,0.8801234613955436,0,-2.220446049250313e-16,-0.3819464185871029,0.5347249860219435,0.0,0.9166714046090463,0.0,0,0.0,0.9551101194437359,0.02072210471184695,0.0007364844205425852,0.6416699832263324,1.8416699832263324,1.2
23,0.33,0.33,0.3795,0.8932604639156796,0,-3.3306690738754696e-16,-0.39388187753896564,0.5514346285545513,0.0,0.9453165060935169,0.0,0,0.0,0.9568336142815184,0.019483494834260102,0.0007060172983593942,0.6617215542654618,1.8617215542654617,1.2
24,0.33999999999999997,0.33999999999999997,0.39099999999999996,0.9067955449358375,0,-2.220446049250313e-16,-0.4058173198591879,0.5681442478028629,0.0,0.973961567662051,0.0,0,0.0,0.9584798558980288,0.018310250607701688,0.0006769352149537938,0.6817730973634356,1.8817730973634355,1.1999999999999997
25,0.35,0.35,0.40249999999999997,1,0,0.00401024343940648,-0.3806343765158522,0.5385024679373622,0.0,1.0,0.17521904220239742,0,0.0,0.9600591910544486,0.017192164591355925,0.0006490443549203057,0.7028071704075844,1.9,1.1971928295924155
