m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S4,I4,D_vals,Uphi,Un,Ud
0.27,0.8648375841733141,0,1.1102230246251565e-16,-0.3057748247670462,0.4280847546738646,0.0,0.7338595794409106,0.0,0.0,0.0,0.9465591306987897,0.02452263510516463,0.000967838728100133,0.5137017056086375,1.7137017056086374,1.2
0.28,0.8768601173508104,0,-1.1102230246251565e-16,-0.3170958764756868,0.4439342270659614,0.0,0.7610301035416484,0.0,0.0,0.0,0.9486009885357893,0.02308756306314715,0.0009286510827021945,0.5327210724791538,1.7327210724791537,1.2
0.29000000000000004,0.889221155940136,0,0.0,-0.32841670489617214,0.4597833868546408,0.0,0.7882000917508128,0.0,0.0,0.0,0.9505581438839485,0.02172295000837278,0.0008911033194972403,0.551740064225569,1.751740064225569,1.2
0.30000000000000004,0.9019352073199072,0,1.1102230246251565e-16,-0.3397373160504693,0.47563224247065705,0.0,0.8153695585211264,0.0,0.0,0.0,0.952433308238733,0.02042624622407816,0.0008551457011203167,0.5707586909647885,1.7707586909647883,1.1999999999999997
0.31,0.915017619876196,0,1.1102230246251565e-16,-0.35105771595983026,0.4914808023437624,0.0,0.8425385183035926,0.0,0.0,0.0,0.9542291399006386,0.01919495530395269,0.0008207291004937034,0.5897769628125149,1.7897769628125146,1.1999999999999997
0.32,0.9284846448413139,0,-1.1102230246251565e-16,-0.36237791064480174,0.5073290749027222,0.0,0.8697069855475239,0.0,0.0,0.0,0.9559482439122483,0.018026634215083513,0.0007878050337708397,0.6087948898832667,1.8087948898832666,1.2
0.33,0.9423535036703965,0,1.1102230246251565e-16,-0.37369790612523546,0.5231770685753298,0.0,0.8968749747005652,0.0,0.0,0.0,0.9575931720288537,0.016918893327332166,0.0007563256912428853,0.6278124822903957,1.8278124822903956,1.2
0.33999999999999997,0.9566424615431334,0,1.1102230246251565e-16,-0.38501770842030014,0.5390247917884206,0.0,0.9240425002087209,0.0,0.0,0.0,0.9591664227219272,0.015869396409863706,0.0007262439662323576,0.6468297501461047,1.8468297501461044,1.1999999999999997
0.35,0.9713709076502718,0,-1.1102230246251565e-16,-0.3963373235484924,0.554872252967889,0.0,0.9512095765163813,0.0,0.0,0.0,0.9606704412147262,0.014875860595541857,0.000697513482002182,0.6658467035614668,1.8658467035614668,1.2
0.36,0.98655944300698,0,0.0,-0.40765675752764396,0.5707194605387017,0.0,0.9783762180663459,0.0,0.0,0.0,0.962107619549325,0.013936056313897317,0.0006700886167120766,0.684863352646442,1.884863352646442,1.2
