mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,£kA11,£kB11,£kA10,£kB10,£kA01,£kB01,£kA00,£kB00,S,I,D,Un,Uphi,Un-Uphi
0.24000000000000002,2.3863938812e-08,0.3158083949,0.43924984644,3.6810599301e-08,8.5142518593e-08,0.46160668187,0.48456246935,0.44715870667,0.49261248357,2.5343254524e-07,0.38265435827,7.943266821e-08,5.9306999932e-07,0.85746303518,0.93577393304,1.0109916608e-27,0.00088631972401,1.2000005535085807,0.9790641166020015,0.22093643690657916
0.25,2.8549440143e-08,0.33335330466,0.43426416772,4.3591401397e-08,1.1594803453e-07,0.50007503539,0.48467080422,0.44764232847,0.4945321317,4.7278653885e-07,0.36817266933,9.7722008497e-08,0.00039950356761,0.99999941345,0.93900085108,1.0241951027e-27,0.00084178825507,1.2002798355885163,1.0333633286873116,0.16691650690120463
0.26,2.9062367801e-08,0.35137240232,0.43420974713,4.4623136276e-08,1.1826058263e-07,0.54174930381,0.48473987068,0.44761664604,0.49456816116,4.9201044893e-07,0.36847878026,1.003475012e-07,0.15423810193,0.99999931216,0.94187745094,1.0332581134e-27,0.00080209117708,1.3079668421661035,1.0513829732296356,0.2565838689364679
0.27,2.9671399182e-08,0.36988517374,0.43413056919,4.5817456714e-08,1.2089045261e-07,0.58704765708,0.48479962578,0.44756253102,0.49459946795,5.1358544709e-07,0.36879599602,1.0330251132e-07,0.29668131946,0.99999917625,0.94460898512,1.0378358443e-27,0.00076439600534,1.4076770831880037,1.0698963070514054,0.3377807761365983
0.28,3.03847982e-08,0.38891218864,0.43402224086,4.7191619479e-08,1.2390791664e-07,0.63646432206,0.48485144907,0.44747505662,0.49463031837,5.3846327306e-07,0.36908862868,1.0662986058e-07,0.42895008777,0.9999989875,0.94720073667,1.0380505797e-27,0.00072862983398,1.5002652106802836,1.0889239010325868,0.4113413096476968
0.29000000000000004,3.1204425179e-08,0.4084751756,0.43389099047,4.8754455381e-08,1.273264448e-07,0.69058767084,0.48489626124,0.44735515092,0.4946614952,5.6710788398e-07,0.36935757484,1.1034690375e-07,0.55209693533,0.99999870915,0.94965792326,1.034083387e-27,0.00069472065903,1.5864679944118698,1.1084874846749535,0.4779805097369163
0.30000000000000004,3.2133167999e-08,0.42859710484,0.43374296743,5.0517117445e-08,1.3116349179e-07,0.7501237587,0.48493486542,0.44720331562,0.49469377454,6.0009977927e-07,0.36960332458,1.1447435494e-07,0.6670340533,0.9999982603,0.95198569121,1.026166889e-27,0.00066259746134,1.6669239680569143,1.128610029215218,0.5383139388416964
0.31,3.3174938811e-08,0.44930227819,0.43358427085,5.2493240212e-08,1.3544056961e-07,0.81592729581,0.48496796913,0.44701951597,0.49472792158,6.381688142e-07,0.36982585712,1.1903628047e-07,0.77455593054,0.99999742116,0.95418910985,1.0145772927e-27,0.00063219028402,1.7421892736970195,1.1493158376156594,0.5928734360813601
0.32,3.433465809e-08,0.47061642698,0.43342068555,5.4699152493e-08,1.4018335698e-07,0.88904294372,0.48499617548,0.44680293258,0.49476464861,6.8223978934e-07,0.37002456879,1.240601155e-07,0.8753577445,0.99999531162,0.95627316632,9.9962598378e-28,0.00060343030477,1.8127505354403473,1.1706306425232296,0.6421198929171177
0.33,3.5618355713e-08,0.49256681874,0.43325879271,5.7154332484e-08,1.454220775e-07,0.97076118826,0.48501973445,0.44655293028,0.49480492891,7.3350569489e-07,0.37019829327,1.2957700418e-07,0.97005040831,0.99998042649,0.95824276067,9.8165097156e-28,0.00057624990275,1.879035392381663,1.1925817129834018,0.6864536793982612
0.33999999999999997,5.5726014574e-08,0.51518236398,0.43107766006,1.0104538106e-07,0.059003701642,0.99999978721,0.48116653045,0.42499940046,0.49715550948,0.059175247952,2.7381380409e-06,1.7711263736e-07,0.99999917526,0.57238434777,0.95989936686,9.6447646892e-28,0.00055338873738,1.929501368395465,1.2213402043095665,0.7081611640858985
0.35,5.6749949323e-08,0.5384937816,0.43103740723,1.031233787e-07,0.1430373195,0.99999975914,0.48120610216,0.42504691654,0.49709381302,0.14320719892,1.1467403359e-06,1.9980559284e-07,0.99999904907,0.57266091022,0.96138404074,9.4710506493e-28,0.00053290023778,1.9715181487710776,1.2539812979064742,0.7175368508646034
0.36,5.7893982135e-08,0.56253368073,0.43097958555,1.0541324082e-07,0.22240240312,0.99999972601,0.48124310468,0.42509414226,0.49702971044,0.22257063992,7.5031521161e-07,2.2647889133e-07,0.99999889636,0.5729003437,0.96280617493,9.2809022623e-28,0.00051327478598,2.011200659093869,1.2876423982691454,0.7235582608247235
0.37,5.9162267475e-08,0.58733675094,0.4309048919,1.0792280031e-07,0.29747748234,0.99999968653,0.48127792846,0.42514278528,0.49696316665,0.29764409976,5.7183529653e-07,2.5811907351e-07,0.99999870963,0.57310362077,0.96416766667,9.0760132156e-28,0.00049448619998,2.048738163843905,1.3223720774654153,0.7263660863784895
0.38,6.0557475051e-08,0.61293991982,0.43081797801,1.1064921488e-07,0.36860124175,0.99999963898,0.48130898237,0.42516016259,0.49689401953,0.36876626228,4.7137755284e-07,2.9604920012e-07,0.99999847861,0.57324651699,0.96547038268,8.8581061641e-28,0.00047650871901,2.08430000480451,1.3582220413051522,0.7260779634993577
0.39,6.209291767e-08,0.63938253646,0.43070709239,1.1363926148e-07,0.43607762907,0.99999958099,0.48134255534,0.42525150706,0.49682250856,0.43624107474,4.0776441721e-07,3.4208319677e-07,0.9999981889,0.57340474241,0.96671615864,8.6289141816e-28,0.00045931701073,2.118038155224739,1.3952473862652592,0.7227907689594799
0.4,6.3768503883e-08,0.66670657321,0.43058476973,1.1686909082e-07,0.50018019727,0.99999950924,0.48137310857,0.42531542496,0.49674825131,0.50034208992,3.6452827468e-07,3.9877282256e-07,0.99999781979,0.57350392552,0.96790679871,8.3901633793e-28,0.00044288617782,2.150089390844668,1.4335068819882424,0.7165825088564257
0.41000000000000003,6.5594955268e-08,0.69495684801,0.43044711619,1.2036465274e-07,0.56115581121,0.99999941891,0.48140298845,0.42538846731,0.49667126616,0.56131617288,3.3380182155e-07,4.6981957276e-07,0.9999973406,0.57356959737,0.96904407508,8.1435568511e-28,0.00042719176387,2.180577143191943,1.4730632826950658,0.7075138604968774
