,m,ICphi,ICn,GRBT fatalities,SRA1 fatalities,SRA2 fatalities,Optimal fatalities
41,0.51,0.33843927444653543,-0.34779231776333486,0.00033165429289409035,0.0004170950024864684,0.0003733390737187574,0.00031957372484
42,0.52,0.32199714744039976,-0.3373005943062086,0.00032634219422022045,0.00040622809369726773,0.0003653098975949948,0.00031497646064
43,0.53,0.3078827782886915,-0.3254974847102492,0.0003211493490074713,0.0003958476504066172,0.0003575498178086036,0.0003115349218
44,0.54,0.2960761244262802,-0.31234656644527714,0.0003160739853010468,0.00038592967738950486,0.000350050390331604,0.00030628081204
45,0.55,0.28656813742795695,-0.29780452939357627,0.00031111434561949177,0.00037645139270117245,0.0003428034028098009,0.00030244531575
46,0.56,0.2793608456804737,-0.2818207265213939,0.00030626868702706073,0.00036739117086285875,0.0003358008706909381,0.00029803741638
47,0.5700000000000001,0.274467574245739,-0.26433662595469576,0.00030153528120314174,0.0003587284882120442,0.00032903503333170684,0.0002940739783
48,0.58,0.27191330925279766,-0.24528515246349647,0.0002969124145087757,0.0003504438703861351,0.0003224983500882769,0.00029021057442
49,0.59,0.2717352177444843,-0.22458990340238483,0.00029239838805029874,0.00034251884190319705,0.00031618349639480264,0.00028701711721
50,0.6,0.27398333796871466,-0.20216422062771056,0.0002879915177401537,0.00033493587779877786,0.00031008335983415326,0.00028355829832
51,0.61,0.2787214598218246,-0.1779100956520403,0.00028369013435489924,0.00032767835727401607,0.0003041910362049078,0.00027918389188
52,0.62,0.28602822074141354,-0.15171688009771556,0.0002794925835904543,0.0003207305193070101,0.0002984998255884577,0.00027568508027
53,0.63,0.2959984490842986,-0.12345976710849849,0.0002753972261146193,0.0003140774201767988,0.0002930032284198637,0.00027295613826
54,0.64,0.30874479526446086,-0.09299800142720249,0.0002714024376169011,0.00030770489284720124,0.00028769494156593363,0.00026893463049
55,0.65,0.3243997011240678,-0.06017276589726617,0.0002675066088556852,0.00030159950815612893,0.00028256885441379446,0.00026567764844
56,0.66,0.3431177707688189,-0.02480467960249788,0.00026370814570279074,0.0002957485377547952,0.00027761904497306526,0.00026249617873
57,0.67,0.34741273079712576,-0.004356718346562705,0.0002602948502458317,0.0002901399187404163,0.0002731140445482282,0.00025948207668
58,0.6799999999999999,0.3192008990775106,-0.01689063710995109,0.00025750201134004176,0.00028476221992552504,0.0002692670358720655,0.00025677082924
59,0.69,0.2918066664724588,-0.029061389018376182,0.0002547526541868538,0.0002796046096868436,0.0002655260318019227,0.00025397195472
60,0.7,0.26519507581357127,-0.040884455571969625,0.0002520465119653449,0.00027465682533676087,0.0002618882405885881,0.00025128389221
61,0.71,0.2393331319717804,-0.052374453452277425,0.00024938331884749294,0.00026990914396077427,0.0002583509451138071,0.00024863973142
62,0.72,0.21418966863080202,-0.06354519155292548,0.00024676280999131976,0.0002653523546648062,0.0002549115017118514,0.0002460392471
63,0.73,0.18973522552004418,-0.0744097238134982,0.000244184721536886,0.00026097773217701804,0.00025156733898835937,0.00024348231235
64,0.74,0.16594193533198176,-0.08498039803921831,0.0002416487906042805,0.00025677701174960744,0.00024831595663692873,0.00024096852875
65,0.75,0.14278341958618013,-0.09526890091500739,0.0002391547552930314,0.00025274236530708637,0.0002451549242539169,0.00023849735463
66,0.76,0.12023469275836973,-0.10528629942201562,0.00023670235468253701,0.00024886637878864963,0.0002420818801518957,0.00023606866549
67,0.77,0.09827207406045924,-0.1150430788464174,0.00023429132883322584,0.00024514203063345606,0.00023909453017218184,0.00023368211864
68,0.78,0.07687310633303523,-0.12454917753811534,0.00023192141878825495,0.0002415626713589255,0.00023619064649684914,0.00023133720807
69,0.79,0.05601648159605199,-0.1338140185314165,0.000229592366575591,0.00023812200418351612,0.00023336806646061722,0.00022903378233
70,0.8,0.03568197289940489,-0.14284653807797287,0.00022730391521037368,0.00023481406664683203,0.00023062469136298015,0.00022677145724
